loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2026-04-24T18:21:03.142+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.726058041667,0.1758270263671875,-0.555450439453125,-0.8638763427734375,3277.717247041667,0.07372913522573425,0.1756940923002649,0.550344405549534,0.03989946097135544,-0.1206908151507378,0.1202114522457123,0.01906241476535797,-0.02273452281951904,-0.01658141613006592,XArbitraryZVertical,0.2673691054956224,0.09435171564468955,0.05915511604574045,0.957137582850373,0.1489826440811157,-0.522980809211731,-0.8392230272293091,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
2026-04-24T18:21:03.152+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.736133041667,0.1793365478515625,-0.5623931884765625,-0.87103271484375,3277.727322041667,0.07515379017349573,0.173626305971416,0.5510291896491,0.05228470265865326,-0.143204391002655,0.1417845189571381,0.0286419540643692,-0.03188610076904297,-0.02469998598098755,XArbitraryZVertical,0.267691885097843,0.09355683209339044,0.05958557104409377,0.957098655882184,0.1471850872039795,-0.523564338684082,-0.83917635679245,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
2026-04-24T18:21:03.163+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.746208041667,0.1815032958984375,-0.5735015869140625,-0.86651611328125,3277.737397041667,0.07691718889004084,0.1711546712265702,0.551826660502084,0.05139999836683273,-0.1641317754983902,0.1779236048460007,0.03429721295833588,-0.03814959526062012,-0.0319068431854248,XArbitraryZVertical,0.2680661298070748,0.09261544863324418,0.06012727687712947,0.9570515302273815,0.1450393348932266,-0.5242436528205872,-0.8391258716583252,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
2026-04-24T18:21:03.173+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.756283041667,0.1843109130859375,-0.5846710205078125,-0.856658935546875,3277.747472041667,0.07907706477106229,0.1683413312404652,0.5526103172710954,0.03698894381523132,-0.1739396601915359,0.2101690918207169,0.0388941615819931,-0.04859077930450439,-0.02739077806472778,XArbitraryZVertical,0.2684274216601813,0.09156450347309783,0.06081125340317754,0.9570082250395276,0.1426091492176056,-0.5249108076095581,-0.8391253352165222,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
2026-04-24T18:21:03.182+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.766358041667,0.1872100830078125,-0.5886688232421875,-0.8503265380859375,3277.757547041667,0.08167832052055336,0.1651717828192896,0.5532840739225804,0.02274981886148453,-0.1833414137363434,0.2437563538551331,0.04442031681537628,-0.05918687582015991,-0.01743489503860474,XArbitraryZVertical,0.2687291463994781,0.09040253369159598,0.06165360415509131,0.9569800701962102,0.1398906111717224,-0.5254841446876526,-0.8392240405082703,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
2026-04-24T18:21:03.192+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.776433041667,0.18212890625,-0.585113525390625,-0.852447509765625,3277.767622041667,0.08464483930984126,0.1618209988288642,0.5539434342924608,0.02853963896632195,-0.1678753793239594,0.2724851369857788,0.05018816888332367,-0.06262373924255371,-0.01098054647445679,XArbitraryZVertical,0.2690161701009414,0.08920383784462675,0.06264470313129623,0.956947559166621,0.1370219141244888,-0.526045024394989,-0.8393459320068359,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
2026-04-24T18:21:03.203+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.786508041667,0.18115234375,-0.571014404296875,-0.8568878173828125,3277.777697041667,0.08791922798123922,0.158423365193442,0.5548971302007883,0.0675959587097168,-0.1711763739585876,0.3049567937850952,0.0480387955904007,-0.05825763940811157,-0.01313662528991699,XArbitraryZVertical,0.2694356825549583,0.08802829673377487,0.06378501645493417,0.9568630456198096,0.1340901255607605,-0.5268558859825134,-0.839310884475708,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
2026-04-24T18:21:03.213+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.796583041667,0.1985931396484375,-0.5584564208984375,-0.8553314208984375,3277.787772041667,0.09164378645649222,0.1547015934251234,0.5561439666218877,0.08104332536458969,-0.1818425804376602,0.3529012203216553,0.05028818547725677,-0.04309916496276855,-0.01773339509963989,XArbitraryZVertical,0.2699905425210632,0.08676355355926649,0.06510412888616431,0.9567332932500248,0.1308641582727432,-0.5279152393341064,-0.8391543626785278,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
2026-04-24T18:21:03.223+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.806658041667,0.2178497314453125,-0.5808258056640625,-0.8650970458984375,3277.797847041667,0.09589271269134542,0.1505894100235889,0.5577066832606462,0.1077782660722733,-0.1893444508314133,0.4010040163993835,0.07130475342273712,-0.02921462059020996,-0.01646262407302856,XArbitraryZVertical,0.2706920982901388,0.08538967351419746,0.06662781217432961,0.9565538253165151,0.1272883862257004,-0.5292418003082275,-0.8388687968254089,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
2026-04-24T18:21:03.233+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3277.816733041667,0.223724365234375,-0.5998992919921875,-0.8544769287109375,3277.807922041667,0.1006130354475102,0.1461525993564856,0.5593012075508674,0.08512099832296371,-0.2016812711954117,0.4291608929634094,0.09440755844116211,-0.05023181438446045,-0.02650773525238037,XArbitraryZVertical,0.271406155651837,0.0839288530262227,0.06832989252727635,0.9563606111692365,0.1234421879053116,-0.5305939912796021,-0.8385893106460571,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740462.8362647,0,0.7599998,101.5559,1,0.85
